,nom,adr_num,adr_voie,com_cp,com_nom,tel1,freq_mnt,dermnt,lat_coor1,long_coor1
0,"Plateau sportif de GrammontTerrain 9, 10, 11", ,avenue albert Einstein,34000,Montpellier,334 67 64 87 70,tous les ans,2019-05-15,3.93392108647369,43.6136351580956
1,MEDIATHEQUE JEAN-JACQUES ROUSSEAU, , ,0, , , , , , 
130,Ecole maternelle Aliénor-d'Aquitaine - Ecole élémentaire Ronsard,694 -700,rue Jacques-Bounin,34070,Montpellier,334 67 27 46 12,Tous les ans,2019-12-01,3.86476856812559,43.5883499187015
69,Piscine centre nautique neptune,-,-,0,Montpellier,-, , ,3.81486877448227,43.6203748790079
74,Ecole maternelle Paul-Eluard - Ecole élémentaire Jean Macé,219 - 289,rue de Saint Hilaire 34000 Montpellier,34000,Montpellier,334 67 64 40 54,Tous les ans,2019-12-01,3.89640622981796,43.5929214621688
272,Centre Culturel Rabelais,29,boulevard Sarrail,34000,Montpellier,334 67 34 71 33,2019-12-01,Tous les ans,3.88032026773112,43.6106902122358
81,Poste de police Ecusson Centre ville,19 bis,rue durand,34000,Montpellier,334 67 34 70 89,tous les ans,2019-04-16,3.87860752258093,43.6050174875771
273, ,"1 place Jacques Mirouse, MONTPELLIER","1 place Jacques Mirouse, MONTPELLIER",34000,Montpellier, , , ,3.86982233698134,43.6127835439949
18,"EHPAD ""Michel BELORGEOT""",41,impasse des Moulins,34000, ,+334 67 40 04 44, , , , 
211,DELL,1, rond-point Benjamin Franklin,0,Montpellier,06 58 57 85 24, , ,3.91169364237597,43.6184228878598
85,Gymnase François Spinosi, ,Rue Pierre Gilles de Gennes,34000,Montpellier,334 67 15 90 35,tous les ans,2018-12-6,3.91771559166406,43.5989740313524
34,Siège du CCAS (Banque d'Acceuil),125,place  Thermidor,34000,Montpellier,+334 99  52 77 53, , ,-,43.6020241317034
108,Vestiaire/tribune CLAUDE BEAL,419,avenue du Dr Jacques Fourcade 34000 Montpellier,34000,MONTPELLIER,334 67 65 70 86,Tout les ans,2019-11-01,3.89668282061293,43.5911769531706
48,Ecole élémentaire Winston Churchill - Ecole maternelle Marceline Desbordes-Valmore,424 - 460,rue du lavandin,34070,Montpellier,334 67 42 54 64,Tous les ans,2019-12-01,3.85476904201268,43.5995832643803
